CO HC NOX
1 5.01 0.5 1.28
2 8.6 0.46 1.17
3 4.95 0.41 1.16
4 7.51 0.44 1.08
5 14.59 0.72 0.6
6 11.53 0.83 1.32
7 5.21 0.38 1.24
8 9.62 0.6 0.71
9 15.13 0.83 0.49
10 3.95 0.34 1.38
11 4.12 0.37 1.2
12 19 0.87 0.78
13 11.2 0.65 0.95
14 3.45 0.48 2.2
15 4.1 0.51 1.78
16 4.74 0.47 1.83
17 5.36 0.56 1.26
18 5.69 0.51 1.73
19 6.02 0.57 1.31
20 2.03 0.36 1.8
21 6.78 0.52 1.15
22 6.02 0.58 0.97
23 5.22 0.47 1.12
24 14.67 0.65 0.72
25 4.42 0.41 1.31
26 7.24 0.39 1.45
27 12.3 0.55 1.22
28 7.98 0.64 1.32
29 4.1 0.38 1.47
30 12.1 0.5 1.44
31 14.97 0.73 0.51
32 5.04 0.57 1.49
33 3.38 0.41 1.33
34 23.53 1.02 0.86
35 22.92 1.1 0.57
36 3.81 0.43 1.79
37 1.85 0.41 2.27
38 2.26 0.41 1.87
39 4.29 0.52 2.94
40 14.83 0.7 1.16
41 6.35 0.52 1.45
42 5.79 0.51 1.51
43 4.62 0.48 1.47
44 8.43 0.61 1.06
45 3.99 0.46 2.01
46 7.47 0.55 1.39
