STATE	POP	TAX	NLIC	INC	ROAD	FUELC	DLIC	FUEL
ME	1029	9	540	3.57100009918213	1.97599995136261	557	52.5	541
NH	771	9	441	4.09200000762939	1.25	404	57.2000007629395	524
VT	462	9	268	3.86500000953674	1.58599996566772	259	58	561
MA	5787	7.5	3060	4.86999988555908	2.3510000705719	2396	52.9000015258789	414
RI	968	8	527	4.39900016784668	0.430999994277954	397	54.4000015258789	410
CN	3082	10	1760	5.34200000762939	1.33299994468689	1408	57.0999984741211	457
NY	18366	8	8278	5.31899976730347	11.8680000305176	6312	45.0999984741211	344
NJ	7367	8	4074	5.12599992752075	2.13800001144409	3439	55.2999992370605	467
PA	11926	8	6312	4.44700002670288	8.57699966430664	5528	52.9000015258789	464
OH	10783	7	5948	4.51200008392334	8.50699996948242	5375	55.2000007629395	498
IN	5291	8	2804	4.39099979400635	5.93900012969971	3068	53	580
IL	11251	7.5	5903	5.12599992752075	14.1859998703003	5301	52.5	471
MI	9082	7	5213	4.81699991226196	6.92999982833862	4768	57.4000015258789	525
WI	4520	7	2465	4.20699977874756	6.57999992370605	2294	54.5	508
MN	3896	7	2368	4.33199977874756	8.15900039672852	2204	60.7999992370605	566
IA	2883	7	1689	4.31799983978271	10.3400001525879	1830	58.5999984741211	635
MO	4753	7	2719	4.20599985122681	8.50800037384033	2865	57.2000007629395	603
ND	632	7	341	3.71799993515015	4.72499990463257	451	54	714
SD	579	7	419	4.71600008010864	5.91499996185303	501	72.4000015258789	865
NE	1525	8.5	1033	4.34100008010864	6.01000022888184	976	67.6999969482422	640
KS	2258	7	1496	4.59299993515015	7.83400011062622	1466	66.3000030517578	649
DE	565	8	340	4.98299980163574	0.601999998092651	305	60.2000007629395	540
MD	4056	9	2073	4.89699983596802	2.44899988174438	1883	51.0999984741211	464
VA	4764	9	2463	4.25799989700317	4.68599987030029	2604	51.7000007629395	547
WY	1781	8.5	982	4.57399988174438	2.61899995803833	819	55.0999984741211	460
NC	5214	9	2835	3.72099995613098	4.74599981307983	2953	54.4000015258789	566
SC	2665	8	1460	3.44799995422363	5.39900016784668	1537	54.7999992370605	577
GA	4720	7.5	2731	3.84599995613098	9.06099987030029	2979	57.9000015258789	631
FL	7259	8	4084	4.18800020217896	5.97499990463257	4169	56.2999992370605	574
KY	3299	9	1626	3.6010000705719	4.65000009536743	1761	49.2999992370605	534
TN	4031	7	2088	3.64000010490417	6.90500020980835	2301	51.7999992370605	571
AL	3510	7	1801	3.33299994468689	6.5939998626709	1946	51.2999992370605	554
MS	2263	8	1309	3.06299996376038	6.52400016784668	1306	57.7999992370605	577
AR	1978	7.5	1081	3.35700011253357	4.12099981307983	1242	54.7000007629395	628
LA	3720	8	1813	3.52800011634827	3.49499988555908	1812	48.7000007629395	487
OK	2634	6.57999992370605	1657	3.80200004577637	7.83400011062622	1695	62.9000015258789	644
TX	11649	5	6595	4.04500007629395	17.7819995880127	7451	56.5999984741211	640
MT	719	7	421	3.8970000743866	6.38500022888184	506	58.5999984741211	704
ID	756	8.5	501	3.63499999046326	3.2739999294281	490	66.3000030517578	648
WY	345	7	232	4.34499979019165	3.90499997138977	334	67.1999969482422	968
CO	2357	7	1475	4.44899988174438	4.63899993896484	1384	62.5999984741211	587
NM	1065	7	600	3.65599989891052	3.98499989509583	744	56.2999992370605	699
AZ	1945	7	1173	4.30000019073486	3.63499999046326	1230	60.2999992370605	632
UT	1126	7	572	3.74499988555908	2.61100006103516	666	50.7999992370605	591
NV	527	6	354	5.21500015258789	2.30200004577637	412	67.1999969482422	782
WN	3443	9	1966	4.47599983215332	3.94199991226196	1757	57.0999984741211	510
OR	2182	7	1360	4.2960000038147	4.08300018310547	1331	62.2999992370605	610
CA	20468	7	12130	5.0019998550415	9.79399967193604	10730	59.2999992370605	524
