lat long tcatch y
40.38333 -71.85 1 0
40.13333 -72.08333 2 0.69315
40.1 -72.31667 7 1.94591
40.01667 -72.4 13 2.56495
39.9 -72.56667 530 6.27288
39.81667 -72.48333 2750 7.91936
39.85 -72.58333 2060 7.63046
39.81667 -72.68333 1016 6.92363
39.76667 -72.73333 1206 7.09506
39.68333 -72.61667 30 3.4012
39.58333 -72.65 110 4.70048
39.46667 -72.66667 722 6.58203
39.43333 -72.73333 41 3.71357
39.4 -72.8 39 3.66356
39.33333 -72.85 94 4.54329
39.26667 -72.81667 7 1.94591
38.86667 -73.18333 33 3.49651
38.6 -73.38333 1 0
38.68333 -73.61667 344 5.84064
38.65 -73.53333 942 6.84801
38.73333 -73.51667 758 6.63068
38.76667 -73.6 83 4.41884
38.81667 -73.7 60 4.09434
38.93333 -73.51667 27 3.29584
38.88333 -73.43333 119 4.77912
38.85 -73.35 482 6.17794
38.93333 -73.28333 151 5.01728
39.01667 -73.48333 20 2.99573
39.15 -73.55 16 2.77259
39.13333 -73.45 26 3.2581
39.23333 -73.31667 18 2.89037
39.3 -73.31667 30 3.4012
39.33333 -73.21667 55 4.00733
39.21667 -73.13333 86 4.45435
39.13333 -73.15 1336 7.19744
39.1 -73.18333 239 5.47646
39.01667 -73.15 459 6.12905
39.06667 -73.08333 229 5.43372
39.18333 -73.1 105 4.65396
39.28333 -72.98333 557 6.32257
39.31667 -72.93333 5056 8.52833
39.38333 -72.91667 2500 7.82405
39.38333 -73.11667 264 5.57595
39.51667 -73.11667 10 2.30259
39.51667 -73.15 8 2.07944
39.65 -73.06667 28 3.3322
39.65 -72.98333 46 3.82864
39.55 -72.96667 370 5.9135
39.6 -72.88333 316 5.75574
39.51667 -72.88333 970 6.8773
39.48333 -72.85 476 6.16542
39.5 -72.73333 7084 8.86559
39.55 -72.8 3246 8.08518
39.63333 -72.76667 322 5.77455
39.71667 -73 16 2.77259
39.71667 -73.05 17 2.83321
39.76667 -73.11667 15 2.70805
39.81667 -73.06667 17 2.83321
39.88333 -73.25 41 3.71357
39.93333 -73.28333 4 1.38629
39.9 -73.35 139 4.93447
40.01667 -73.28333 5 1.60944
40.03333 -73.36667 3 1.09861
40 -73.45 21 3.04452
40.11667 -73.56667 14 2.63906
40.15 -73.55 4 1.38629
40.16667 -73.66667 1 0
40.15 -73.28333 9 2.19722
39.98333 -73.05 13 2.56495
39.9 -73.11667 3 1.09861
39.85 -72.98333 3 1.09861
39.9 -72.91667 114 4.7362
39.85 -72.78333 471 6.15486
39.98333 -72.58333 842 6.73578
39.98333 -72.75 326 5.7869
39.98333 -72.81667 52 3.95124
40.1 -72.91667 22 3.09104
40.18333 -72.85 21 3.04452
40.1 -72.81667 26 3.2581
40.06667 -72.51667 91 4.51086
40.15 -72.55 70 4.2485
40.18333 -72.45 35 3.55535
40.21667 -72.51667 42 3.73767
40.23333 -72.68333 42 3.73767
40.31667 -72.61667 20 2.99573
40.4 -72.68333 17 2.83321
40.51667 -72.68333 25 3.21888
40.55 -72.48333 19 2.94444
40.45 -72.53333 20 2.99573
40.46667 -72.46667 41 3.71357
40.4 -72.41667 46 3.82864
40.31667 -72.43333 30 3.4012
40.31667 -72.35 21 3.04452
40.23333 -72.35 37 3.61092
40.18333 -72.3 290 5.66988
40.23333 -72.18333 207 5.33272
40.91667 -71.76667 297 5.69373
40.86667 -71.8 46 3.82864
40.86667 -71.85 23 3.13549
40.9 -71.95 1 0
40.85 -72.06667 9 2.19722
40.81667 -72.18333 20 2.99573
40.78333 -72.35 33 3.49651
40.66667 -72.38333 28 3.3322
40.58333 -72.38333 159 5.0689
40.61667 -72.31667 62 4.12713
40.56667 -72.25 76 4.33073
40.56667 -72.18333 106 4.66344
40.53333 -72.18333 71 4.26268
40.5 -72.31667 50 3.91202
40.43333 -72.28333 68 4.21951
40.35 -72.25 24 3.17805
40.31667 -72.15 26 3.2581
40.36667 -72.1 11 2.3979
40.45 -71.96667 3 1.09861
40.56667 -71.98333 26 3.2581
40.6 -72.01667 34 3.52636
40.6 -72.13333 75 4.31749
40.65 -72.16667 143 4.96284
40.65 -72.08333 62 4.12713
40.7 -72.05 31 3.43399
40.73333 -72.05 230 5.43808
40.71667 -71.98333 8 2.07944
40.66667 -71.83333 114 4.7362
40.73333 -71.88333 8 2.07944
40.76667 -71.91667 8 2.07944
40.75 -71.83333 38 3.63759
