"gender" "height" "stone" "lb" "weight"
"1" 0 74 13 0 82.5538113399542
"2" 0 73 13 12 87.9969197799511
"3" 0 73 9 4 58.9670080999673
"4" 0 72 12 0 76.2035181599577
"5" 0 72 10 7 66.678078389963
"6" 1 66 8 3 52.163122549971
"7" 0 68 10 3 64.863708909964
"8" 0 69 10 6 66.2244860199632
"9" 0 74.5 12 8 79.8322571199557
"10" 1 65 9 9 61.234969949966
"11" 1 67 10 0 63.5029317999647
"12" 1 64 10 0 63.5029317999647
"13" 1 67.5 9 7 60.3277852099665
"14" 0 76 12 8 79.8322571199557
"15" 0 76 14 0 88.9041045199506
"16" 1 65 8 9 54.8846767699695
"17" 1 68 11 0 69.8532249799612
"18" 1 62 7 7 47.6271988499736
"19" 0 75 15 4 97.068767179946
"22" 1 67 9 6 59.8741928399668
"23" 1 66 8 7 53.97749202997
"24" 1 66 8 6 53.5238996599703
"25" 0 73 12 0 76.2035181599577
"26" 0 66 9 0 57.1526386199683
"27" 1 66.5 9 0 57.1526386199683
"28" 0 71 11 5 72.12118682996
"29" 0 70 10 0 63.5029317999647
"30" 1 66 7 10 48.9879759599728
"31" 0 72 11 2 70.7604097199607
"32" 0 68 11 7 73.0283715699594
"33" 0 73 14 0 88.9041045199506
"35" 0 68 11 0 69.8532249799612
"37" 0 71.5 10 11 68.492447869962
"39" 0 67 9 6 59.8741928399668
"40" 0 75 12 2 77.1107028999572
"41" 0 68 10 10 68.0388554999622
"43" 1 59 6 11 43.0912751499761
"44" 1 68 8 6 53.5238996599703
"45" 0 73 11 0 69.8532249799612
"46" 1 66 11 0 69.8532249799612
"47" 0 66 9 7 60.3277852099665
"48" 0 74 11 1 70.306817349961
"49" 1 62 8 1 51.2559378099715
